0.640083569608156,1.09,13.43
0.770088120702483,0.76,11.12
0.890051596791814,0.6,9.439
1.01960680454852,0.48,8.245
1.13956054626011,0.36,7.217
1.26000190480792,0.32,6.421
1.38995725821861,0.3,5.768
1.50997670725977,0.26,5.18
1.64000247927381,0.24,4.665
1.75988910479914,0.21,4.205
1.87997251604397,0.22,3.747
2.01011977031614,0.3,3.205
2.12994652865658,0.7,2.704
2.26001070785818,1.02,2.577
2.38019173417354,1.18,2.608
2.50018526785843,1.22,2.564
2.63012701385447,1.25,2.483
2.74970475566866,1.24,2.397
2.88000435384668,1.25,2.305
2.99985936203967,1.28,2.207
3.11988393138147,1.32,2.116
3.24991316993708,1.33,2.045
3.37005130288393,1.36,1.975
3.50040054864765,1.37,1.916
3.61997627541897,1.36,1.864
3.74009615182805,1.34,1.821
3.86966877132022,1.38,1.783
3.99047915780817,1.38,1.729
4.1204449130309,1.4,1.679
4.2402252884097,1.42,1.633
4.35950026136075,1.45,1.633
4.49055369189061,1.46,1.646
4.61079164868352,1.45,1.668
4.73945670615825,1.41,1.691
4.86021902912974,1.41,1.741
4.97928463586746,1.37,1.783
5.11064251579141,1.34,1.799
5.22919390270349,1.28,1.802
5.36031938750972,1.23,1.792
5.48117539492041,1.18,1.768
5.600008465813,1.13,1.737
5.72939867990294,1.08,1.699
5.85107066697026,1.04,1.651
5.98090629199709,1.01,1.599
6.09858275617805,0.99,1.55
6.22098281149522,0.98,1.493
6.34839669396312,0.97,1.44
6.47099099337681,0.95,1.388
6.59841338121872,0.94,1.337
