0.000000000000000000e+00	9.999998752684193803e-01
9.999199999999999755e-03	9.999998730448848017e-01
1.999949999999999992e-02	9.999998707814610199e-01
3.999989999999999796e-02	9.999998661328809435e-01
4.999920000000000059e-02	9.999998637464672102e-01
1.100000000000000006e-01	9.999998485063500420e-01
1.210750000000000021e-01	9.999998455123079166e-01
3.399989999999999957e-01	9.999997725399516479e-01
4.849069999999999769e-01	9.999997061585210734e-01
5.099989999999999801e-01	9.999996927571088712e-01
6.699990000000000112e-01	9.999995984134798510e-01
8.299999999999999600e-01	9.999994531270193221e-01
8.487390000000000212e-01	9.999994275696474366e-01
9.899999999999999911e-01	9.999991543671332694e-01
1.149999999999999911e+00	9.999988325273373446e-01
1.212569999999999926e+00	9.999986561900734428e-01
1.310000000000000053e+00	9.999984483678349134e-01
1.442260000000000097e+00	9.999968444322346883e-01
1.469999999999999973e+00	9.999961362118419128e-01
1.629999999999999893e+00	9.999933535163301190e-01
1.671950000000000047e+00	9.999929900899977575e-01
1.909999999999999920e+00	9.999899069576330124e-01
2.035779999999999923e+00	9.999883535472088303e-01
2.189999999999999947e+00	9.999881682540395778e-01
2.370000000000000107e+00	9.999855627395872748e-01
2.390000000000000124e+00	9.999848242537120457e-01
2.399610000000000021e+00	9.999847024539615381e-01
2.399999999999999911e+00	9.999846988528748870e-01
2.410000000000000142e+00	9.999846254612565488e-01
2.419999999999999929e+00	9.999842241642460383e-01
2.430000000000000160e+00	9.999822211939364269e-01
2.439999999999999947e+00	9.999813623976337995e-01
2.490000000000000213e+00	9.999772403551139277e-01
2.509999999999999787e+00	9.999769312172790414e-01
2.580000000000000071e+00	9.999752398856935898e-01
2.589999999999999858e+00	9.999753084150961868e-01
2.763440000000000119e+00	9.999711887573744518e-01
2.799999999999999822e+00	9.999703980268421777e-01
2.810000000000000053e+00	9.999713507138899837e-01
2.819999999999999840e+00	9.999726172616332232e-01
2.830000000000000071e+00	9.999738783162634981e-01
2.839999999999999858e+00	9.999748524933562699e-01
2.850000000000000089e+00	9.999751740473223904e-01
2.859999999999999876e+00	9.999752899716035648e-01
2.870000000000000107e+00	9.999755161099597167e-01
2.879999999999999893e+00	9.999751425104659308e-01
2.890000000000000124e+00	9.999745736437567478e-01
2.919999999999999929e+00	9.999708440671092324e-01
2.930000000000000160e+00	9.999689676264917892e-01
2.939999999999999947e+00	9.999655863324399263e-01
2.950000000000000178e+00	9.999609833349647481e-01
