#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
3.368636863686369e+02	0.000000000000000e+00	5.461934247668698e+11	4.830917874396136e+14	1.730069506203152e+16	4.830917874396136e+14	4.836379808643804e+14
3.378337833783378e+02	0.000000000000000e+00	5.493438002656834e+11	4.830917874396136e+14	1.730074637562308e+16	4.830917874396136e+14	4.836411312398792e+14
3.388038803880388e+02	0.000000000000000e+00	5.525032351429232e+11	4.830917874396136e+14	1.730079768906245e+16	4.830917874396136e+14	4.836442906747565e+14
3.397739773977398e+02	0.000000000000000e+00	5.556717293985892e+11	4.830917874396136e+14	1.730084900234962e+16	4.830917874396136e+14	4.836474591690121e+14
3.407440744074407e+02	0.000000000000000e+00	5.588492830326816e+11	4.830917874396136e+14	1.730090031548460e+16	4.830917874396136e+14	4.836506367226462e+14
3.417141714171417e+02	0.000000000000000e+00	5.620358960452002e+11	4.830917874396136e+14	1.730095162846739e+16	4.830917874396136e+14	4.836538233356588e+14
3.426842684268427e+02	0.000000000000000e+00	5.652315684361450e+11	4.830917874396136e+14	1.730100294129798e+16	4.830917874396136e+14	4.836570190080497e+14
3.436543654365437e+02	0.000000000000000e+00	5.684363002055162e+11	4.830917874396136e+14	1.730105425397640e+16	4.830917874396136e+14	4.836602237398191e+14
3.446244624462446e+02	0.000000000000000e+00	5.716500913533136e+11	4.830917874396136e+14	1.730110556650262e+16	4.830917874396136e+14	4.836634375309669e+14
3.455945594559456e+02	0.000000000000000e+00	5.748729418795371e+11	4.830917874396136e+14	1.730115687887666e+16	4.830917874396136e+14	4.836666603814931e+14
3.465646564656466e+02	0.000000000000000e+00	5.781048517841869e+11	4.830917874396136e+14	1.730120819109852e+16	4.830917874396136e+14	4.836698922913978e+14
3.475347534753475e+02	0.000000000000000e+00	5.813458210672629e+11	4.830917874396136e+14	1.730125950316820e+16	4.830917874396136e+14	4.836731332606808e+14
3.485048504850485e+02	0.000000000000000e+00	5.845958497287651e+11	4.830917874396136e+14	1.730131081508569e+16	4.830917874396136e+14	4.836763832893423e+14
3.494749474947495e+02	0.000000000000000e+00	5.878549377686937e+11	4.830917874396136e+14	1.730136212685101e+16	4.830917874396136e+14	4.836796423773822e+14
3.504450445044504e+02	0.000000000000000e+00	5.911230851870486e+11	4.830917874396136e+14	1.730141343846414e+16	4.830917874396136e+14	4.836829105248006e+14
3.514151415141514e+02	0.000000000000000e+00	5.944002919838296e+11	4.830917874396136e+14	1.730146474992510e+16	4.830917874396136e+14	4.836861877315974e+14
3.523852385238524e+02	0.000000000000000e+00	5.976865581590367e+11	4.830917874396136e+14	1.730151606123389e+16	4.830917874396136e+14	4.836894739977726e+14
3.533553355335533e+02	0.000000000000000e+00	6.009818837126703e+11	4.830917874396136e+14	1.730156737239050e+16	4.830917874396136e+14	4.836927693233262e+14
3.543254325432544e+02	0.000000000000000e+00	6.042862686447302e+11	4.830917874396136e+14	1.730161868339493e+16	4.830917874396136e+14	4.836960737082583e+14
3.552955295529553e+02	0.000000000000000e+00	6.075997129552163e+11	4.830917874396136e+14	1.730166999424720e+16	4.830917874396136e+14	4.836993871525688e+14
3.562656265626563e+02	0.000000000000000e+00	6.109222166441285e+11	4.830917874396136e+14	1.730172130494730e+16	4.830917874396136e+14	4.837027096562577e+14
3.572357235723572e+02	0.000000000000000e+00	6.142537797114670e+11	4.830917874396136e+14	1.730177261549523e+16	4.830917874396136e+14	4.837060412193250e+14
3.582058205820582e+02	0.000000000000000e+00	6.175944021572318e+11	4.830917874396136e+14	1.730182392589098e+16	4.830917874396136e+14	4.837093818417708e+14
3.591759175917592e+02	0.000000000000000e+00	6.209440839814227e+11	4.830917874396136e+14	1.730187523613458e+16	4.830917874396136e+14	4.837127315235950e+14
3.601460146014601e+02	0.000000000000000e+00	6.243028251840399e+11	4.830917874396136e+14	1.730192654622601e+16	4.830917874396136e+14	4.837160902647976e+14
3.611161116111611e+02	0.000000000000000e+00	6.276706257650835e+11	4.830917874396136e+14	1.730197785616527e+16	4.830917874396136e+14	4.837194580653786e+14
3.620862086208621e+02	0.000000000000000e+00	6.310474857245532e+11	4.830917874396136e+14	1.730202916595238e+16	4.830917874396136e+14	4.837228349253381e+14
3.630563056305631e+02	0.000000000000000e+00	6.344334050624493e+11	4.830917874396136e+14	1.730208047558732e+16	4.830917874396136e+14	4.837262208446760e+14
3.640264026402640e+02	0.000000000000000e+00	6.378283837787714e+11	4.830917874396136e+14	1.730213178507011e+16	4.830917874396136e+14	4.837296158233923e+14
3.649964996499650e+02	0.000000000000000e+00	6.412324218735200e+11	4.830917874396136e+14	1.730218309440073e+16	4.830917874396136e+14	4.837330198614871e+14
3.659665966596660e+02	0.000000000000000e+00	6.446455193466947e+11	4.830917874396136e+14	1.730223440357920e+16	4.830917874396136e+14	4.837364329589602e+14
3.669366936693669e+02	0.000000000000000e+00	6.480676761982958e+11	4.830917874396136e+14	1.730228571260552e+16	4.830917874396136e+14	4.837398551158119e+14
3.679067906790679e+02	0.000000000000000e+00	6.514988924283229e+11	4.830917874396136e+14	1.730233702147968e+16	4.830917874396136e+14	4.837432863320419e+14
3.688768876887689e+02	0.000000000000000e+00	6.549391680367764e+11	4.830917874396136e+14	1.730238833020169e+16	4.830917874396136e+14	4.837467266076503e+14
3.698469846984698e+02	0.000000000000000e+00	6.583885030236560e+11	4.830917874396136e+14	1.730243963877155e+16	4.830917874396136e+14	4.837501759426372e+14
3.708170817081708e+02	0.000000000000000e+00	6.618468973889620e+11	4.830917874396136e+14	1.730249094718926e+16	4.830917874396136e+14	4.837536343370025e+14
3.717871787178718e+02	0.000000000000000e+00	6.653143511326942e+11	4.830917874396136e+14	1.730254225545482e+16	4.830917874396136e+14	4.837571017907462e+14
3.727572757275727e+02	0.000000000000000e+00	6.687908642548527e+11	4.830917874396136e+14	1.730259356356823e+16	4.830917874396136e+14	4.837605783038684e+14
3.737273727372738e+02	0.000000000000000e+00	6.722764367554375e+11	4.830917874396136e+14	1.730264487152949e+16	4.830917874396136e+14	4.837640638763690e+14
