#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
3.000000000000000e+02	0.000000000000000e+00	4.331921552258015e+11	3.381642512077294e+15	1.729874503276287e+16	3.381642512077294e+15	3.382075704232520e+15
3.009700970097010e+02	0.000000000000000e+00	4.359982743444177e+11	3.381642512077294e+15	1.729879635213882e+16	3.381642512077294e+15	3.382078510351639e+15
3.019401940194019e+02	0.000000000000000e+00	4.388134528414602e+11	3.381642512077294e+15	1.729884767136252e+16	3.381642512077294e+15	3.382081325530136e+15
3.029102910291029e+02	0.000000000000000e+00	4.416376907169289e+11	3.381642512077294e+15	1.729889899043398e+16	3.381642512077294e+15	3.382084149768012e+15
3.038803880388039e+02	0.000000000000000e+00	4.444709879708239e+11	3.381642512077294e+15	1.729895030935320e+16	3.381642512077294e+15	3.382086983065266e+15
3.048504850485049e+02	0.000000000000000e+00	4.473133446031453e+11	3.381642512077294e+15	1.729900162812017e+16	3.381642512077294e+15	3.382089825421898e+15
3.058205820582058e+02	0.000000000000000e+00	4.501647606138927e+11	3.381642512077294e+15	1.729905294673490e+16	3.381642512077294e+15	3.382092676837908e+15
3.067906790679068e+02	0.000000000000000e+00	4.530252360030664e+11	3.381642512077294e+15	1.729910426519740e+16	3.381642512077294e+15	3.382095537313298e+15
3.077607760776078e+02	0.000000000000000e+00	4.558947707706664e+11	3.381642512077294e+15	1.729915558350765e+16	3.381642512077294e+15	3.382098406848065e+15
3.087308730873087e+02	0.000000000000000e+00	4.587733649166926e+11	3.381642512077294e+15	1.729920690166568e+16	3.381642512077294e+15	3.382101285442211e+15
3.097009700970097e+02	0.000000000000000e+00	4.616610184411450e+11	3.381642512077294e+15	1.729925821967146e+16	3.381642512077294e+15	3.382104173095736e+15
3.106710671067107e+02	0.000000000000000e+00	4.645577313440236e+11	3.381642512077294e+15	1.729930953752501e+16	3.381642512077294e+15	3.382107069808638e+15
3.116411641164116e+02	0.000000000000000e+00	4.674635036253286e+11	3.381642512077294e+15	1.729936085522633e+16	3.381642512077294e+15	3.382109975580920e+15
3.126112611261126e+02	0.000000000000000e+00	4.703783352850598e+11	3.381642512077294e+15	1.729941217277542e+16	3.381642512077294e+15	3.382112890412580e+15
3.135813581358136e+02	0.000000000000000e+00	4.733022263232172e+11	3.381642512077294e+15	1.729946349017228e+16	3.381642512077294e+15	3.382115814303618e+15
3.145514551455145e+02	0.000000000000000e+00	4.762351767398010e+11	3.381642512077294e+15	1.729951480741691e+16	3.381642512077294e+15	3.382118747254034e+15
3.155215521552155e+02	0.000000000000000e+00	4.791771865348110e+11	3.381642512077294e+15	1.729956612450931e+16	3.381642512077294e+15	3.382121689263830e+15
3.164916491649165e+02	0.000000000000000e+00	4.821282557082471e+11	3.381642512077294e+15	1.729961744144949e+16	3.381642512077294e+15	3.382124640333002e+15
3.174617461746175e+02	0.000000000000000e+00	4.850883842601096e+11	3.381642512077294e+15	1.729966875823745e+16	3.381642512077294e+15	3.382127600461554e+15
3.184318431843184e+02	0.000000000000000e+00	4.880575721903983e+11	3.381642512077294e+15	1.729972007487318e+16	3.381642512077294e+15	3.382130569649485e+15
3.194019401940194e+02	0.000000000000000e+00	4.910358194991131e+11	3.381642512077294e+15	1.729977139135668e+16	3.381642512077294e+15	3.382133547896794e+15
3.203720372037204e+02	0.000000000000000e+00	4.940231261862543e+11	3.381642512077294e+15	1.729982270768797e+16	3.381642512077294e+15	3.382136535203481e+15
3.213421342134213e+02	0.000000000000000e+00	4.970194922518217e+11	3.381642512077294e+15	1.729987402386705e+16	3.381642512077294e+15	3.382139531569546e+15
3.223122312231223e+02	0.000000000000000e+00	5.000249176958153e+11	3.381642512077294e+15	1.729992533989390e+16	3.381642512077294e+15	3.382142536994990e+15
3.232823282328233e+02	0.000000000000000e+00	5.030394025182352e+11	3.381642512077294e+15	1.729997665576854e+16	3.381642512077294e+15	3.382145551479812e+15
3.242524252425243e+02	0.000000000000000e+00	5.060629467190815e+11	3.381642512077294e+15	1.730002797149096e+16	3.381642512077294e+15	3.382148575024014e+15
3.252225222522252e+02	0.000000000000000e+00	5.090955502983539e+11	3.381642512077294e+15	1.730007928706117e+16	3.381642512077294e+15	3.382151607627593e+15
3.261926192619262e+02	0.000000000000000e+00	5.121372132560525e+11	3.381642512077294e+15	1.730013060247916e+16	3.381642512077294e+15	3.382154649290550e+15
3.271627162716272e+02	0.000000000000000e+00	5.151879355921774e+11	3.381642512077294e+15	1.730018191774495e+16	3.381642512077294e+15	3.382157700012886e+15
3.281328132813281e+02	0.000000000000000e+00	5.182477173067285e+11	3.381642512077294e+15	1.730023323285853e+16	3.381642512077294e+15	3.382160759794601e+15
3.291029102910291e+02	0.000000000000000e+00	5.213165583997059e+11	3.381642512077294e+15	1.730028454781989e+16	3.381642512077294e+15	3.382163828635694e+15
3.300730073007301e+02	0.000000000000000e+00	5.243944588711094e+11	3.381642512077294e+15	1.730033586262906e+16	3.381642512077294e+15	3.382166906536166e+15
3.310431043104310e+02	0.000000000000000e+00	5.274814187209394e+11	3.381642512077294e+15	1.730038717728602e+16	3.381642512077294e+15	3.382169993496016e+15
3.320132013201320e+02	0.000000000000000e+00	5.305774379491954e+11	3.381642512077294e+15	1.730043849179077e+16	3.381642512077294e+15	3.382173089515244e+15
3.329832983298330e+02	0.000000000000000e+00	5.336825165558778e+11	3.381642512077294e+15	1.730048980614332e+16	3.381642512077294e+15	3.382176194593850e+15
3.339533953395339e+02	0.000000000000000e+00	5.367966545409863e+11	3.381642512077294e+15	1.730054112034367e+16	3.381642512077294e+15	3.382179308731836e+15
3.349234923492349e+02	0.000000000000000e+00	5.399198519045214e+11	3.381642512077294e+15	1.730059243439182e+16	3.381642512077294e+15	3.382182431929199e+15
3.358935893589359e+02	0.000000000000000e+00	5.430521086464825e+11	3.381642512077294e+15	1.730064374828777e+16	3.381642512077294e+15	3.382185564185941e+15
3.368636863686369e+02	0.000000000000000e+00	5.461934247668698e+11	3.381642512077294e+15	1.730069506203152e+16	3.381642512077294e+15	3.382188705502062e+15
3.378337833783378e+02	0.000000000000000e+00	5.493438002656834e+11	3.381642512077294e+15	1.730074637562308e+16	3.381642512077294e+15	3.382191855877560e+15
3.388038803880388e+02	0.000000000000000e+00	5.525032351429232e+11	3.381642512077294e+15	1.730079768906245e+16	3.381642512077294e+15	3.382195015312438e+15
3.397739773977398e+02	0.000000000000000e+00	5.556717293985892e+11	3.381642512077294e+15	1.730084900234962e+16	3.381642512077294e+15	3.382198183806693e+15
3.407440744074407e+02	0.000000000000000e+00	5.588492830326816e+11	3.381642512077294e+15	1.730090031548460e+16	3.381642512077294e+15	3.382201361360327e+15
3.417141714171417e+02	0.000000000000000e+00	5.620358960452002e+11	3.381642512077294e+15	1.730095162846739e+16	3.381642512077294e+15	3.382204547973340e+15
3.426842684268427e+02	0.000000000000000e+00	5.652315684361450e+11	3.381642512077294e+15	1.730100294129798e+16	3.381642512077294e+15	3.382207743645730e+15
3.436543654365437e+02	0.000000000000000e+00	5.684363002055162e+11	3.381642512077294e+15	1.730105425397640e+16	3.381642512077294e+15	3.382210948377500e+15
3.446244624462446e+02	0.000000000000000e+00	5.716500913533136e+11	3.381642512077294e+15	1.730110556650262e+16	3.381642512077294e+15	3.382214162168648e+15
3.455945594559456e+02	0.000000000000000e+00	5.748729418795371e+11	3.381642512077294e+15	1.730115687887666e+16	3.381642512077294e+15	3.382217385019174e+15
3.465646564656466e+02	0.000000000000000e+00	5.781048517841869e+11	3.381642512077294e+15	1.730120819109852e+16	3.381642512077294e+15	3.382220616929078e+15
3.475347534753475e+02	0.000000000000000e+00	5.813458210672629e+11	3.381642512077294e+15	1.730125950316820e+16	3.381642512077294e+15	3.382223857898362e+15
3.485048504850485e+02	0.000000000000000e+00	5.845958497287651e+11	3.381642512077294e+15	1.730131081508569e+16	3.381642512077294e+15	3.382227107927024e+15
3.494749474947495e+02	0.000000000000000e+00	5.878549377686937e+11	3.381642512077294e+15	1.730136212685101e+16	3.381642512077294e+15	3.382230367015063e+15
3.504450445044504e+02	0.000000000000000e+00	5.911230851870486e+11	3.381642512077294e+15	1.730141343846414e+16	3.381642512077294e+15	3.382233635162482e+15
3.514151415141514e+02	0.000000000000000e+00	5.944002919838296e+11	3.381642512077294e+15	1.730146474992510e+16	3.381642512077294e+15	3.382236912369278e+15
3.523852385238524e+02	0.000000000000000e+00	5.976865581590367e+11	3.381642512077294e+15	1.730151606123389e+16	3.381642512077294e+15	3.382240198635454e+15
3.533553355335533e+02	0.000000000000000e+00	6.009818837126703e+11	3.381642512077294e+15	1.730156737239050e+16	3.381642512077294e+15	3.382243493961007e+15
3.543254325432544e+02	0.000000000000000e+00	6.042862686447302e+11	3.381642512077294e+15	1.730161868339493e+16	3.381642512077294e+15	3.382246798345939e+15
3.552955295529553e+02	0.000000000000000e+00	6.075997129552163e+11	3.381642512077294e+15	1.730166999424720e+16	3.381642512077294e+15	3.382250111790250e+15
3.562656265626563e+02	0.000000000000000e+00	6.109222166441285e+11	3.381642512077294e+15	1.730172130494730e+16	3.381642512077294e+15	3.382253434293938e+15
3.572357235723572e+02	0.000000000000000e+00	6.142537797114670e+11	3.381642512077294e+15	1.730177261549523e+16	3.381642512077294e+15	3.382256765857006e+15
3.582058205820582e+02	0.000000000000000e+00	6.175944021572318e+11	3.381642512077294e+15	1.730182392589098e+16	3.381642512077294e+15	3.382260106479452e+15
3.591759175917592e+02	0.000000000000000e+00	6.209440839814227e+11	3.381642512077294e+15	1.730187523613458e+16	3.381642512077294e+15	3.382263456161276e+15
3.601460146014601e+02	0.000000000000000e+00	6.243028251840399e+11	3.381642512077294e+15	1.730192654622601e+16	3.381642512077294e+15	3.382266814902478e+15
3.611161116111611e+02	0.000000000000000e+00	6.276706257650835e+11	3.381642512077294e+15	1.730197785616527e+16	3.381642512077294e+15	3.382270182703060e+15
3.620862086208621e+02	0.000000000000000e+00	6.310474857245532e+11	3.381642512077294e+15	1.730202916595238e+16	3.381642512077294e+15	3.382273559563019e+15
3.630563056305631e+02	0.000000000000000e+00	6.344334050624493e+11	3.381642512077294e+15	1.730208047558732e+16	3.381642512077294e+15	3.382276945482357e+15
3.640264026402640e+02	0.000000000000000e+00	6.378283837787714e+11	3.381642512077294e+15	1.730213178507011e+16	3.381642512077294e+15	3.382280340461074e+15
3.649964996499650e+02	0.000000000000000e+00	6.412324218735200e+11	3.381642512077294e+15	1.730218309440073e+16	3.381642512077294e+15	3.382283744499168e+15
3.659665966596660e+02	0.000000000000000e+00	6.446455193466947e+11	3.381642512077294e+15	1.730223440357920e+16	3.381642512077294e+15	3.382287157596641e+15
3.669366936693669e+02	0.000000000000000e+00	6.480676761982958e+11	3.381642512077294e+15	1.730228571260552e+16	3.381642512077294e+15	3.382290579753493e+15
3.679067906790679e+02	0.000000000000000e+00	6.514988924283229e+11	3.381642512077294e+15	1.730233702147968e+16	3.381642512077294e+15	3.382294010969723e+15
3.688768876887689e+02	0.000000000000000e+00	6.549391680367764e+11	3.381642512077294e+15	1.730238833020169e+16	3.381642512077294e+15	3.382297451245332e+15
3.698469846984698e+02	0.000000000000000e+00	6.583885030236560e+11	3.381642512077294e+15	1.730243963877155e+16	3.381642512077294e+15	3.382300900580318e+15
3.708170817081708e+02	0.000000000000000e+00	6.618468973889620e+11	3.381642512077294e+15	1.730249094718926e+16	3.381642512077294e+15	3.382304358974684e+15
3.717871787178718e+02	0.000000000000000e+00	6.653143511326942e+11	3.381642512077294e+15	1.730254225545482e+16	3.381642512077294e+15	3.382307826428427e+15
3.727572757275727e+02	0.000000000000000e+00	6.687908642548527e+11	3.381642512077294e+15	1.730259356356823e+16	3.381642512077294e+15	3.382311302941550e+15
3.737273727372738e+02	0.000000000000000e+00	6.722764367554375e+11	3.381642512077294e+15	1.730264487152949e+16	3.381642512077294e+15	3.382314788514050e+15
3.746974697469747e+02	0.000000000000000e+00	6.757710686344485e+11	3.381642512077294e+15	1.730269617933862e+16	3.381642512077294e+15	3.382318283145929e+15
3.756675667566757e+02	0.000000000000000e+00	6.792747598918856e+11	3.381642512077294e+15	1.730274748699560e+16	3.381642512077294e+15	3.382321786837186e+15
3.766376637663766e+02	0.000000000000000e+00	6.827875105277490e+11	3.381642512077294e+15	1.730279879450044e+16	3.381642512077294e+15	3.382325299587822e+15
3.776077607760776e+02	0.000000000000000e+00	6.863093205420387e+11	3.381642512077294e+15	1.730285010185313e+16	3.381642512077294e+15	3.382328821397836e+15
3.785778577857786e+02	0.000000000000000e+00	6.898401899347546e+11	3.381642512077294e+15	1.730290140905369e+16	3.381642512077294e+15	3.382332352267230e+15
3.795479547954795e+02	0.000000000000000e+00	6.933801187058967e+11	3.381642512077294e+15	1.730295271610212e+16	3.381642512077294e+15	3.382335892196000e+15
3.805180518051805e+02	0.000000000000000e+00	6.969291068554652e+11	3.381642512077294e+15	1.730300402299840e+16	3.381642512077294e+15	3.382339441184150e+15
3.814881488148815e+02	0.000000000000000e+00	7.004871543834598e+11	3.381642512077294e+15	1.730305532974255e+16	3.381642512077294e+15	3.382342999231678e+15
3.824582458245825e+02	0.000000000000000e+00	7.040542612898809e+11	3.381642512077294e+15	1.730310663633457e+16	3.381642512077294e+15	3.382346566338584e+15
3.834283428342834e+02	0.000000000000000e+00	7.076304275747279e+11	3.381642512077294e+15	1.730315794277445e+16	3.381642512077294e+15	3.382350142504869e+15
3.843984398439844e+02	0.000000000000000e+00	7.112156532380015e+11	3.381642512077294e+15	1.730320924906220e+16	3.381642512077294e+15	3.382353727730532e+15
3.853685368536854e+02	0.000000000000000e+00	7.148099382797010e+11	3.381642512077294e+15	1.730326055519783e+16	3.381642512077294e+15	3.382357322015574e+15
3.863386338633863e+02	0.000000000000000e+00	7.184132826998270e+11	3.381642512077294e+15	1.730331186118133e+16	3.381642512077294e+15	3.382360925359994e+15
3.873087308730873e+02	0.000000000000000e+00	7.220256864983792e+11	3.381642512077294e+15	1.730336316701269e+16	3.381642512077294e+15	3.382364537763793e+15
3.882788278827883e+02	0.000000000000000e+00	7.256471496753574e+11	3.381642512077294e+15	1.730341447269194e+16	3.381642512077294e+15	3.382368159226970e+15
3.892489248924892e+02	0.000000000000000e+00	7.292776722307621e+11	3.381642512077294e+15	1.730346577821906e+16	3.381642512077294e+15	3.382371789749526e+15
3.902190219021902e+02	0.000000000000000e+00	7.329172541645930e+11	3.381642512077294e+15	1.730351708359406e+16	3.381642512077294e+15	3.382375429331459e+15
3.911891189118912e+02	0.000000000000000e+00	7.365658954768501e+11	3.381642512077294e+15	1.730356838881693e+16	3.381642512077294e+15	3.382379077972772e+15
3.921592159215921e+02	0.000000000000000e+00	7.402235961675333e+11	3.381642512077294e+15	1.730361969388769e+16	3.381642512077294e+15	3.382382735673462e+15
3.931293129312932e+02	0.000000000000000e+00	7.438903562366432e+11	3.381642512077294e+15	1.730367099880633e+16	3.381642512077294e+15	3.382386402433531e+15
3.940994099409941e+02	0.000000000000000e+00	7.475661756841791e+11	3.381642512077294e+15	1.730372230357285e+16	3.381642512077294e+15	3.382390078252978e+15
3.950695069506951e+02	0.000000000000000e+00	7.512510545101411e+11	3.381642512077294e+15	1.730377360818725e+16	3.381642512077294e+15	3.382393763131804e+15
3.960396039603961e+02	0.000000000000000e+00	7.549449927145294e+11	3.381642512077294e+15	1.730382491264954e+16	3.381642512077294e+15	3.382397457070009e+15
3.970097009700970e+02	0.000000000000000e+00	7.586479902973441e+11	3.381642512077294e+15	1.730387621695972e+16	3.381642512077294e+15	3.382401160067592e+15
3.979797979797980e+02	0.000000000000000e+00	7.623600472585848e+11	3.381642512077294e+15	1.730392752111778e+16	3.381642512077294e+15	3.382404872124553e+15
3.989498949894989e+02	0.000000000000000e+00	7.660811635982520e+11	3.381642512077294e+15	1.730397882512374e+16	3.381642512077294e+15	3.382408593240893e+15
3.999199919991999e+02	0.000000000000000e+00	7.698113393163453e+11	3.381642512077294e+15	1.730403012897758e+16	3.381642512077294e+15	3.382412323416611e+15
4.008900890089009e+02	0.000000000000000e+00	7.735505744128649e+11	3.381642512077294e+15	1.730408143267932e+16	3.381642512077294e+15	3.382416062651708e+15
4.018601860186019e+02	0.000000000000000e+00	7.772988688878109e+11	3.381642512077294e+15	1.730413273622895e+16	3.381642512077294e+15	3.382419810946182e+15
4.028302830283028e+02	0.000000000000000e+00	7.810562227411827e+11	3.381642512077294e+15	1.730418403962648e+16	3.381642512077294e+15	3.382423568300036e+15
4.038003800380038e+02	0.000000000000000e+00	7.848226359729813e+11	3.381642512077294e+15	1.730423534287190e+16	3.381642512077294e+15	3.382427334713268e+15
4.047704770477048e+02	0.000000000000000e+00	7.885981085832058e+11	3.381642512077294e+15	1.730428664596522e+16	3.381642512077294e+15	3.382431110185878e+15
4.057405740574058e+02	0.000000000000000e+00	7.923826405718566e+11	3.381642512077294e+15	1.730433794890644e+16	3.381642512077294e+15	3.382434894717866e+15
