#  aims_uuid : 9E77B350-B48A-4CBA-A44E-A8089FE5A8A9                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -33.60450468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.59450343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.58450218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.57450093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.56449968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.55449843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.54449718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.53449593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.52449468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.51449343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.50449218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.49449093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.48448968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.47448843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.46448718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.45448593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.44448468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.43448343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.42448218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.41448093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.40447968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.39447843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.38447718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.37447593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.36447468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.35447343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.34447218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.33447093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.32446968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.31446843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
