#  aims_uuid : F6E78B0D-804B-4AD0-A977-1568297477EF                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -43.60452193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.59452093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.58451993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.57451893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.56451793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.55451693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.54451593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.53451493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.52451393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.51451293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.50451193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.49451093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.48450993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.47450893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.46450793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.45450693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.44450593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.43450493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.42450393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.41450293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.40450193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.39450093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.38449993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.37449893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.36449793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.35449693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.34449593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.33449493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.32449393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.31449293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.30449193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.29449093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.28448993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.27448893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.26448793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.25448693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.24448593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.23448493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.22448393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.21448293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.20448193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.19448093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.18447993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
